reviews,overall_satisfaction,has_satisfaction,has_reviews,accommodates,bathrooms,bedrooms,address_length,room_type,log_price,price_capped
171,4.5,1,1,2,1.0,1.0,26,Private room,3.9889840465642745,53.0
31,5.0,1,1,4,1.0,1.0,26,Private room,4.983606621708336,145.0
9,4.5,1,1,2,1.0,1.0,26,Private room,4.02535169073515,55.0
211,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.330733340286331,75.0
226,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.499809670330265,89.0
46,5.0,1,1,4,1.0,1.0,26,Entire home/apt,5.111987788356544,165.0
237,5.0,1,1,4,2.0,1.0,26,Entire home/apt,4.605170185988092,99.0
30,5.0,1,1,2,1.0,1.0,26,Private room,4.499809670330265,89.0
323,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.709530201312334,110.0
15,4.5,1,1,6,2.0,2.0,26,Entire home/apt,4.897839799950911,133.0
128,5.0,1,1,2,1.0,1.0,26,Private room,4.700480365792417,109.0
267,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
180,5.0,1,1,2,1.5,1.0,26,Entire home/apt,4.532599493153256,92.0
3,5.0,1,1,4,1.0,2.0,26,Entire home/apt,4.454347296253507,85.0
264,5.0,1,1,3,1.0,1.0,26,Private room,3.8918202981106265,48.0
255,4.5,1,1,6,1.5,3.0,26,Entire home/apt,4.174387269895637,64.0
41,5.0,1,1,3,1.0,1.0,26,Entire home/apt,4.912654885736052,135.0
55,5.0,1,1,8,2.5,3.0,26,Entire home/apt,5.2832037287379885,196.0
319,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.564348191467836,95.0
78,4.5,1,1,8,2.0,3.0,26,Entire home/apt,5.616771097666572,274.0
111,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.787491742782046,119.0
17,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.7535901911063645,115.0
200,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
49,5.0,1,1,4,1.0,1.0,26,Entire home/apt,5.1647859739235145,174.0
45,5.0,1,1,1,1.0,1.0,26,Private room,3.9318256327243257,50.0
15,5.0,1,1,6,2.0,3.0,26,Entire home/apt,5.929589143389895,375.0
179,4.5,1,1,6,1.5,3.0,26,Entire home/apt,5.170483995038151,175.0
220,5.0,1,1,4,1.0,1.0,26,Private room,3.828641396489095,45.0
17,5.0,1,1,7,1.5,3.0,26,Entire home/apt,5.707110264748875,300.0
40,5.0,1,1,6,2.0,2.0,26,Entire home/apt,5.583496308781699,265.0
92,5.0,1,1,6,1.0,2.0,26,Entire home/apt,5.056245805348308,156.0
53,5.0,1,1,4,1.0,2.0,26,Entire home/apt,5.1647859739235145,174.0
312,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
102,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.875197323201151,130.0
361,5.0,1,1,2,1.0,1.0,26,Private room,3.871201010907891,47.0
37,4.5,1,1,3,1.0,1.0,26,Private room,4.02535169073515,55.0
75,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.795790545596741,120.0
27,5.0,1,1,1,1.0,1.0,26,Private room,4.110873864173311,60.0
25,4.5,1,1,2,1.0,1.0,26,Private room,4.110873864173311,60.0
16,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
8,4.0,1,1,4,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
274,5.0,1,1,2,1.5,1.0,26,Private room,4.382026634673881,79.0
10,4.0,1,1,6,2.0,3.0,26,Entire home/apt,5.010635294096256,149.0
6,4.5,1,1,3,1.5,2.0,26,Entire home/apt,5.993961427306569,400.0
56,4.5,1,1,7,1.0,2.0,26,Entire home/apt,4.499809670330265,89.0
314,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.7535901911063645,115.0
170,4.5,1,1,3,1.0,1.0,26,Private room,4.189654742026425,65.0
0,5.0,0,0,6,2.0,3.0,26,Private room,4.718498871295094,111.0
196,5.0,1,1,3,1.0,1.0,26,Private room,4.143134726391533,62.0
13,4.5,1,1,1,1.0,1.0,26,Private room,3.58351893845611,35.0
182,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
98,5.0,1,1,3,1.0,1.0,26,Entire home/apt,5.049856007249537,155.0
7,4.0,1,1,2,1.0,1.0,26,Entire home/apt,4.61512051684126,100.0
26,5.0,1,1,6,2.5,2.0,26,Entire home/apt,5.62040086571715,275.0
58,4.5,1,1,6,2.0,3.0,26,Entire home/apt,5.525452939131784,250.0
31,4.5,1,1,2,1.0,1.0,26,Entire home/apt,4.248495242049359,69.0
210,5.0,1,1,7,1.0,2.0,26,Entire home/apt,4.61512051684126,100.0
63,4.5,1,1,4,1.0,2.0,27,Entire home/apt,4.51085950651685,90.0
109,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.382026634673881,79.0
26,5.0,1,1,9,4.5,5.0,26,Entire home/apt,6.2166061010848646,500.0
5,4.0,1,1,4,1.0,1.0,26,Entire home/apt,5.081404364984463,160.0
31,4.5,1,1,2,1.5,1.0,32,Private room,4.418840607796598,82.0
327,5.0,1,1,4,1.0,1.0,26,Private room,4.127134385045092,61.0
206,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.663439094112067,105.0
130,5.0,1,1,4,1.0,1.0,26,Entire home/apt,4.787491742782046,119.0
52,5.0,1,1,8,1.5,2.0,26,Entire home/apt,5.198497031265826,180.0
21,4.5,1,1,1,1.0,1.0,26,Private room,4.262679877041316,70.0
69,5.0,1,1,2,1.0,1.0,26,Entire home/apt,4.574710978503383,96.0
43,4.5,1,1,6,1.5,3.0,26,Entire home/apt,5.198497031265826,180.0
213,4.5,1,1,4,1.0,1.0,26,Entire home/apt,4.330733340286331,75.0
58,5.0,1,1,2,1.0,0.0,27,Entire home/apt,5.010635294096256,149.0
385,4.5,1,1,3,1.0,1.0,26,Entire home/apt,4.7535901911063645,115.0
88,5.0,1,1,2,1.0,1.0,26,Private room,4.343805421853684,76.0
39,5.0,1,1,4,3.0,2.0,26,Entire home/apt,5.860786223465865,350.0
172,5.0,1,1,6,1.0,3.0,26,Entire home/apt,4.61512051684126,100.0
12,4.5,1,1,4,1.0,2.0,26,Entire home/apt,5.010635294096256,149.0
